updated_datetime;current_population
2022-10-16 12:18:08.152118;215,601,309
2022-10-17 12:22:42.458797;215,603,995
2022-10-18 12:22:08.508417;215,606,671
2022-10-19 12:22:38.816867;215,609,349
2022-10-20 12:20:38.833603;215,612,022
2022-10-21 12:22:18.714413;215,614,702
2022-10-22 12:18:12.690183;215,617,371
2022-10-23 12:18:41.790710;215,620,049
2022-10-24 12:21:38.216194;215,622,732
2022-10-25 12:22:56.540728;215,625,411
2022-10-26 12:21:11.833334;215,628,085
2022-10-27 12:21:02.141522;215,630,762
2022-10-28 12:20:58.297564;215,633,438
2022-10-29 12:16:30.369497;215,636,107
2022-10-30 12:18:11.634345;215,638,787
2022-10-31 12:21:23.136092;215,641,470
2022-11-01 12:21:44.909974;215,644,148
2022-11-02 12:20:22.157367;215,646,822
2022-11-03 12:17:17.423352;215,649,494
2022-11-04 12:19:26.625628;215,652,175
2022-11-05 12:15:04.560773;215,654,843
2022-11-06 12:16:29.574549;215,657,523
2022-11-07 12:19:46.184224;215,660,206
2022-11-08 12:21:09.826365;215,662,886
2022-11-09 12:21:05.771357;215,665,563
2022-11-10 12:19:21.975079;215,668,236
2022-11-11 12:20:27.037575;215,670,915
2022-11-12 12:15:08.255710;215,673,583
2022-11-13 12:16:41.094597;215,676,262
2022-11-14 12:19:01.196514;215,678,944
2022-11-15 12:15:55.982302;215,681,615
2022-11-16 12:16:34.648743;215,684,293
2022-11-17 12:17:12.835203;215,686,971
2022-11-18 12:16:24.399609;215,689,647
2022-11-19 12:15:08.860597;215,692,322
2022-11-20 12:15:15.292645;215,694,999
2022-11-21 12:16:51.395209;215,697,679
2022-11-22 12:17:21.195927;215,700,357
2022-11-23 12:20:06.938770;215,703,039
2022-11-24 12:16:55.461562;215,705,710
2022-11-25 12:16:28.431205;215,708,386
2022-11-26 12:15:30.923774;215,711,061
2022-11-27 12:16:07.011678;215,713,739
2022-11-28 12:19:26.061410;215,716,423
2022-11-29 12:20:13.078852;215,719,101
2022-11-30 12:19:11.744056;215,721,776
2022-12-01 12:18:59.616439;215,724,453
2022-12-02 12:18:52.617740;215,727,130
2022-12-03 12:15:06.820407;215,729,800
2022-12-04 12:17:47.360441;215,732,482
2022-12-05 12:17:35.704977;215,735,158
2022-12-06 12:17:43.998874;215,737,835
2022-12-07 12:14:35.435539;215,740,507
2022-12-08 12:14:41.630350;215,743,184
2022-12-09 12:14:08.607619;215,745,860
2022-12-10 19:03:59.935972;215,749,299
2022-12-11 12:13:34.395813;215,751,213
2022-12-12 12:15:17.226802;215,753,893
2022-12-13 12:14:55.833827;215,756,801
2022-12-14 12:15:00.853861;215,759,480
2022-12-15 12:14:52.975780;215,762,158
2022-12-16 12:13:43.154996;215,764,834
2022-12-17 12:41:22.139324;215,767,564
2022-12-18 12:12:40.707041;215,770,189
2022-12-19 12:14:06.269437;215,772,870
2022-12-20 12:14:26.143037;215,775,549
2022-12-21 12:13:56.790076;215,778,226
2022-12-22 12:14:31.132503;215,780,906
2022-12-23 12:13:17.747;215,783,582
2022-12-24 12:12:39.246326;215,786,259
2022-12-25 12:12:47.839401;215,788,938
2022-12-26 12:13:44.882440;215,791,618
2022-12-27 12:14:04.206903;215,794,297
2022-12-28 12:13:28.973967;215,796,974
2022-12-29 12:13:35.419418;215,799,653
2022-12-30 12:13:13.148389;215,802,331
2022-12-31 12:13:09.439402;215,805,009
2023-01-01 12:13:06.723197;215,807,687
2023-01-02 12:14:03.263168;215,812,983
2023-01-03 12:14:22.427789;215,816,380
2023-01-04 12:14:44.237750;215,819,776
2023-01-05 12:14:51.643153;215,823,172
2023-01-06 12:14:26.336826;215,826,566
2023-01-07 12:12:58.577294;215,829,958
2023-01-08 12:13:11.881037;215,833,354
2023-01-09 12:16:01.142113;215,836,757
2023-01-10 12:14:37.887020;215,840,149
2023-01-11 12:15:00.709851;215,843,545
2023-01-12 12:15:48.217853;215,846,943
2023-01-13 18:25:43.784090;215,851,210
2023-01-14 12:12:43.919642;215,853,726
2023-01-15 12:13:18.793148;215,857,123
2023-01-16 12:15:00.165646;215,860,523
2023-01-17 12:14:59.101076;215,863,918
2023-01-18 12:14:30.839114;215,867,313
2023-01-19 12:15:06.592016;215,870,710
2023-01-20 12:14:47.491659;215,874,104
2023-01-21 12:12:59.836124;215,877,496
2023-01-22 12:13:00.800174;215,880,891
2023-01-23 12:14:39.198066;215,884,291
2023-01-24 12:15:17.089446;215,887,688
2023-01-25 12:16:33.490070;215,891,086
2023-01-26 12:15:14.977613;215,894,479
2023-01-27 12:13:49.411389;215,897,871
2023-01-28 12:13:13.136730;215,901,265
2023-01-29 12:13:12.842237;215,904,660
2023-01-30 12:15:13.451274;215,908,061
2023-01-31 12:14:37.028285;215,911,455
2023-02-01 12:15:48.079808;215,914,853
2023-02-02 12:15:10.715311;215,918,247
2023-02-03 12:14:19.616798;215,921,641
2023-02-04 12:12:48.703164;215,925,033
2023-02-05 12:13:07.673503;215,928,429
2023-02-06 12:15:20.702266;215,931,830
2023-02-07 12:14:31.509688;215,935,223
2023-02-08 12:14:48.812191;215,938,619
2023-02-09 12:15:32.073056;215,942,016
2023-02-10 12:16:35.659462;215,945,415
2023-02-11 12:13:29.391307;215,948,803
2023-02-12 12:13:55.836076;215,952,199
2023-02-13 12:15:35.563477;215,955,599
2023-02-14 12:15:27.830186;215,958,994
2023-02-15 12:15:31.642756;215,962,390
2023-02-16 12:15:18.671294;215,965,785
2023-02-17 12:14:50.788948;215,969,179
2023-02-18 12:13:41.514232;215,972,572
2023-02-19 12:13:38.639047;215,975,967
2023-02-20 12:15:22.193903;215,979,367
2023-02-21 12:15:01.479761;215,982,762
2023-02-22 12:15:18.824229;215,986,158
2023-02-23 12:16:06.578559;215,989,555
2023-02-24 12:15:02.514735;215,992,948
2023-02-25 12:14:01.500542;215,996,341
2023-02-26 12:14:21.236598;215,999,738
2023-02-27 12:16:38.058904;216,003,138
2023-02-28 12:15:51.660519;216,006,532
2023-03-01 12:16:08.303214;216,009,928
